"Codi","Descripció"
"11-200 A","Semàfor per vehicles ambre amb lluminària de diàmetre 200 mm"
"11-200 A F","Semàfor per vehicles ambre amb fletxa i amb lluminària de diàmetre 200 mm"
"11-300 A","Semàfor per vehicles ambre amb lluminària de diàmetre 300 mm"
"11-300 A F","Semàfor per vehicles ambre amb fletxa i amb lluminària de diàmetre 300 mm"
"12-100 AA","Semàfor per vehicles ambre, ambre amb lluminària de 100 mm"
"12-100 AA F","Semàfor per vehicles ambre, ambre amb fletxa i amb lluminària de 100 mm"
"12-100 RV","Semàfor per vehicles roig, verd amb lluminària de 100 mm"
"12-200 AA","Semàfor per vehicles ambre, ambre amb lluminària de 200 mm"
"12-200 AA F","Semàfor per vehicles ambre, ambre amb fletxa i amb lluminària de 200 mm"
"12-300 AA","Semàfor per vehicles ambre, ambre amb lluminària de diàmetre 300 mm"
"12-300 AA F","Semàfor per vehicles ambre, ambre amb fletxa i amb lluminària de diàmetre 300 mm"
"12-300 RV F","Semàfor per vehicles roig, verd amb fletxa i amb lluminària de 300 mm"
"13-100 RAA","Semàfor per vehicles roig, ambre, ambre, amb lluminària de 100 mm"
"13-100 RAA F","Semàfor per vehicles roig, ambre, ambre amb fletxa i amb lluminària de 100 mm"
"13-100 RAV","Semàfor per vehicles de tres colors: roig, ambre i verd amb lluminària de diàmetre 100 mm"
"13-100 RAV F","Semàfor per vehicles de tres colors: roig, ambre i verd amb fletxa i lluminària de diàmetre 100 mm"
"13-200 RAA","Semàfor per vehicles roig, ambre, ambre amb lluminària de 200 mm"
"13-200 RAA F","Semàfor per vehicles roig, ambre, ambre amb fletxa i amb luminària de diàmetre 200 mm"
"13-200 RAV","Semàfor per vehicles de tres colors: roig, ambre i verd amb lluminària de diàmetre 200 mm"
"13-200 RAV F","Semàfor per vehicles de tres colors: roig, ambre i verd amb fletxa i amb lluminària de diàmetre 200 mm"
"13-300 200 RAV","Semàfor per vehicles de tres colors: roig, ambre i verd amb lluminària de diàmetre 300 mm i de 200 mm"
"13-300 RAV","Semàfor per vehicles de tres colors: roig, ambre i verd amb lluminària de diàmetre 300 mm"
"13-300 RAV F","Semàfor per vehicles de tres colors: roig, ambre i verd amb lluminària de diàmetre 300 mm i fletxa"
"13-300-200 RAVF","Semàfor per vehicles de tres colors: roig, ambre i verd amb fletxa i amb lluminària de diàmetre 300 mm i de 200 mm"
"43-200 RAV","Semàfor de quatre cossos per vehicles de tres colors: roig, ambre i verd amb lluminària de diàmetre 200 mm"
"Acometida","Escomesa"
"AntenaWifi","Radio enllaç wifi"
"ArmariCom","Armari de comunicacions"
"ArmarioDob","Armari gran"
"ArmarioSim","Armari amb suport"
"Arqueta","Arqueta"
"AspaFletxa","Semàfor de carril reversible (aspa-fletxa)"
"Baculo","Bàcul"
"BalBombers","Balisa detectora de bombers"
"Banderola","Suport panell (Banderola)"
"Barrera","Barrera automàtica"
"Bici 11-100 A","Semàfor per bicicletes d'un sol color: ambre amb lluminària de 100 mm"
"Bici 11-200 A","Semàfor per bicicletes d'un sol color: ambre amb lluminària de 200 mm"
"Bici 12-100 A F","Semàfor per bicicletes d'un sol color: ambre amb lluminària de 100 mm i fletxa"
"Bici 12-100 RA","Semàfor per bicicletes de dos colors: roig i ambre amb lluminària de 100 mm"
"Bici 12-100 RV","Semàfor per bicicletes de dos colors: roig i verd amb lluminària de 100 mm"
"Bici 12-200 RA","Semàfor per bicicletes de dos colors: roig i ambre amb lluminària de 200m"
"Bici 12-200 RV","Semàfor per bicicletes de dos colors: roig i verd amb lluminària de 200 mm"
"Bici 13-100 RAF","Semàfor per bicicletes de dos colors: roig i ambre amb fletxa fixe i amb llumin. de 100mm"
"Bici 13-100 RVF","Semàfor per bicicletes de dos colors: roig i verd amb fletxa fixe i amb llumin. de 100 mm"
"Bici 13-200 RAF","Semàfor per bicicletes de dos colors: roig i ambre amb fletxa fixe i amb llumin. de 200m"
"Bici 13-200 RVF","Semàfor per bicicletes de dos colors: roig i verd + fletxa fixe amb lluminàries de diàmetre 200 mm"
"Bus 11-200 A","Semàfor per autobusos d'un color: ambre amb lluminària diameter 200 mm"
"Bus 12-200 AA","Semàfor per autobusos d'un color: ambre, ambre amb lluminària diàmetre 200 mm"
"Bus 13-200 RAV","Semàfor per autobusos de tres colors: roig, ambre, verd amb lluminària diàmetre 200 mm"
"CajaTag","Caixa tag"
"CamCiutatFixa","Càmera fixa supervisió trànsit urbà"
"CamCiutatMóbil","Càmera mòbil supervisió trànsit urbà"
"CamFotoControl","Càmera de foto control"
"CamPilona","Càmera fixa de pilones"
"CamRadar","Càmera fixa radar"
"CamRondaFixa","Càmera fixa supervisió trànsit rondes"
"CamRondaMóbil","Càmera mòbil supervisió trànsit rondes"
"CE 12-200 RV","Camí escolar"
"CEInv 12-200 RV","Camí escolar amb dispositiu per invidents"
"CentralReg","Central de regulació"
"Col2000","Columna 2000"
"Col2400","Columna 2400"
"Col4000","Columna 4000"
"Col800","Columna 800"
"ColFicticia","Columna ficticia"
"Columna","Suport panell (Columna)"
"Comptador","Comptador de temps per vianants"
"Con01","Control d'accés d'entrada"
"Con02","Control d'accés de sortida"
"ConMultius","Controlador de carril multiús"
"ConPortic","Controlador de pòrtic"
"ConvMedi","Conversor de medi"
"Descomptador","Descomptador"
"DetBlue","Detector bluetooth"
"DetEspires","Detector d'espires"
"DetEspiresBici","Detector d'espires Bicicletes"
"DetInfraroig","Detector d'infrarroig"
"DetteletagBUS","Detector teletag autobusos"
"DetVisió","Detector de visió artificial"
"DispPolsador","Display polsador"
"DSP","DSP per magnetometre"
"ECL","Comunicació i dades ECL"
"ERU","ERU"
"Façana","Façana"
"Fanal","Fanal"
"Flash","Flash"
"FO","Repartidor de FO"
"FotoControl","Controlador foto control"
"FotoPre","Pre-instal·lació de foto control"
"Galeria","Suport per galeries de serveis"
"GalibEmisor","Emisol de gàlib"
"GalibReceptor","Receptor de gàlib"
"Interfono","Interfono"
"Invidents","Mòdul sonor per a invidents"
"Magneto","Magnetómetre"
"Mastil","Màstil"
"Modem","Modem"
"Node Rambles","Node gigabit de la xarxa de rambles"
"Node Regulació","Node gigabit de la xarxa de regulació"
"Node Rondes","Node gigabit de la xarxa de rondes"
"Node Túnel","Node gigabit de la xarxa de túnels"
"Polsador","Polsador de vianants"
"Portic","Pòrtic"
"PreInstPanel","Pre-instal.lació de panell d'informació variable"
"PunMedRonda","Punt de mesura de ronda"
"PunMedUrba","Punt de mesura urbá"
"RadarControl","Radar velocitat"
"RadarPre","Pre-instal·lació de radar"
"Regulador","Regulador"
"Repetidor","Repetidor per magnetometre"
"SAI","SAI"
"SenCarril","Senyal d'accés a carril reversible"
"SseDBL","Suport doble"
"SseSMP","Suport simple"
"SvarAparcaments","Panell d'informació d'aparcaments"
"SVarBomberos","Senyal de corredor de bombers"
"SVarCamiEscolar","Senyal variable de camí escolar"
"SVarMultius","Panell d'informació carril multiús"
"SVarOculta","Senyal variable oculta"
"SVarPanel","Panell d'informació variable"
"SVarRondes","Panell d'informació d'accessos rondes"
"SVarVelocitat","Senyal de velocitat variable"
"SW Rambles","Switch de la xarxa de rambles"
"SW Regulació","Switch de la xarxa de regulació"
"SW Rondes","Switch de la xarxa de rondes"
"SW Túnel","Switch de la xarxa de túnels"
"Tramvia 12-200","Semàfor tramvia"
"VB 12-200 RV","Semàfor per vianants i bicicletes de dos colors: roig i verd amb lluminària de 200 mm"
"VBInv 12-200 RV","Semàfor per vianants i bicicletes de dos colors: roig i verd amb lluminària de 200 mm amb dispositiu per invidents"
"VBInvCom 200 RV","Semàfor pe vianants i bicicletes de dos colors: roig i verd amb lluminària de 200 mm amb dispositiu per invidents i comp"
"VComp 12-200 RV","Semàfor per vianants de dos colors: roig i verd amb lluminària de 200 mm i comptador"
"Via 12-200 PPC","Semàfor per vianants de dos colors: roig i verd amb lluminària de 200 mm"
"Video","Element del sistema de video"
